task_id,instr_equal,evidence_equal,easy_evidence_sha,expert_evidence_sha
HON_20200501,False,True,86582d286426,86582d286426
HON_20200724,False,True,d0f5613c98f4,d0f5613c98f4
HON_20201030,False,True,393dc0dcb0ea,393dc0dcb0ea
HON_20210212,False,True,8d37dab3fcbb,8d37dab3fcbb
HON_20210423,False,True,9908894bed8c,9908894bed8c
JNJ_20200429,False,True,4f37f979c2e3,4f37f979c2e3
JNJ_20200724,False,True,b1614eb609eb,b1614eb609eb
JNJ_20201023,False,True,25198323ccbc,25198323ccbc
JNJ_20210222,False,True,125b9150c47f,125b9150c47f
JNJ_20210430,False,True,f549e5e27d1e,f549e5e27d1e
MSFT_20200429,False,True,69b0294fc55f,69b0294fc55f
MSFT_20200730,False,True,6e627c43ac4f,6e627c43ac4f
MSFT_20201027,False,True,cacbb1ab646a,cacbb1ab646a
MSFT_20210126,False,True,81c5bd8e85a7,81c5bd8e85a7
MSFT_20210427,False,True,0b6b1d6997b5,0b6b1d6997b5
UVV_20200528,False,True,69607fcb466a,69607fcb466a
UVV_20200805,False,True,dbe5af489c6c,dbe5af489c6c
UVV_20201105,False,True,8ba0f7ee9a33,8ba0f7ee9a33
UVV_20210208,False,True,48e204cc3226,48e204cc3226
