task_id,question,query_sha256,answer_words
MSFT_20200429,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",71f64361cb0a84f02ab5faa38cda880f7254afbbf2aa8e85763e3e6235209ab9,77
MSFT_20200429,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",dc6ccea9640f005621b1dc79176b67ae25d38dc1e4da14ee41d2a57ae3f3cfcf,38
MSFT_20200429,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",2f0a389f79990e9f7c34e3285ad2ca716f1df37a7731a3b8b2090f5ab8a9b70d,56
MSFT_20200429,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",197c65aaef8f0a9d508cb1d3dc9245bfa4c1b5b132df1127ec3f28683c6759ee,26
MSFT_20200730,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",e8cd79332dc339032643037e80bfcf3f36ca7e5c19a3e3ca4c1e4d5b40c1bb34,104
MSFT_20200730,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",398b6ae7710e5e3f236537c41ebb4ca6f0b1edbf502af60450a91029ef3094f9,39
MSFT_20200730,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",379d9873adaeba35a4921a92098e4651610f6a73dd0c49f3685fc080d83b916c,60
MSFT_20200730,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",53b7da26798635cdd35c6369e71ecf76b5c0241ecf5505b37daf6d9dcef92480,49
MSFT_20201027,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",702c3982d829a3ec8df70ee41e3c12ef558a5bbd4d1bd13eb5b308debe5a4d14,99
MSFT_20201027,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",e787c97bf48a240b8a0a57b9ed18fac2b36298b3746a92791359b973153c5329,34
MSFT_20201027,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",b9bd1a418faef9c2273a677fe91d06dd7586fd24a931b89f572cb74543dcc920,44
MSFT_20201027,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",5ff528f4e1c75b1d2b0418c3fd1bf97fadd35d9be0f03e38b19de6566ca1a255,12
MSFT_20210126,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",51e69adb9fa4d97dedca6964b8be5ad51b95eff2dfe9baf766a1256e92baa0ac,97
MSFT_20210126,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",d31064966c73a879e255f96e74d672a1e987a8f7d7458e6396d6d6de0e9999ce,47
MSFT_20210126,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",349299aa843d54dd77381be7bb9d91b247cd8bfa9665f62856b8ff21b8f4bc05,53
MSFT_20210126,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",2e089928c6bffd9d19aa8df75f16821d71b28228715ba0145065310b50e5e8a1,20
MSFT_20210427,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",8b51be449fb034bba56cb094a9a0a998f0cea2235d0381c3afae02fe18743eba,45
MSFT_20210427,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",2e395c836709092bb2cbc9bcbc95235356e715c999e4e3c1b8b2911475ff0b03,15
MSFT_20210427,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",22ce0e6f193713828a1664c5b9bea4786f2d2c51a1960f8a488a483398a168b4,41
MSFT_20210427,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",e694c41b6f8ff9eee961feacf6ed3e7ff99b57e1eb92ba23c7dd44a3f5465c2c,60
HON_20200501,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",0268f6f06ba7c7c3dfa04ae166a99e2bf703bcce2f131c5dc1e2bd2dc2f35aef,142
HON_20200501,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",e5662b78b4272ea930cb4b6fca71837c8bb968364a2e4f5122c568300a4971cc,55
HON_20200501,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",a93e0e89d5c63c70bad56cd200b7c108605fe9426dd3933fd46c3602f64e5bc6,104
HON_20200501,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",6bb211afd8b99582ea8d6e2468aefeaf0be509b15a39f755241da270dba97162,5
HON_20200724,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",908ef879f7d638ba0259531022385941bb2dfe2b67d86f4a0b5f630c618c5872,104
HON_20200724,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",7bc4df965e2f89591fca63eea5c444377b3825bc15f21663dea002ffe70d573a,33
HON_20200724,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",2e0687219f2a6bcd4c31f5bb822da9effdf5a80c819a0c7b5e2bba667a7191ef,118
HON_20200724,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",b7d87e9ff3d04a5056afcaa8e8edf78eae4bc0a2db4a372221bb798c3f159750,5
HON_20201030,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",52c55abfa79b7179e91a445c8d8134cccad879923e9e804e3ae27fdf7c250f80,83
HON_20201030,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",3790ac0c8efe64e3ddffeb07aa479195da95b474f7f1a1da1b774483ad0240d8,46
HON_20201030,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",a8946153ab17089997500d97266645fb2e93919aaf313cffbee7bc1a16fff83b,70
HON_20201030,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",466330d545a86944bead96287c06e361d211fb1f7a55f16c31515dda25ac64f3,5
HON_20210212,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",e11b0ee2d3f755c82b1e45ac405f90870df337b2de516a36187e331308205e0a,100
HON_20210212,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",a48cf75603e55bb0cd1aa0cf97f671e24c9af760dca9a41dd094bd021b24b38b,52
HON_20210212,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",7001a08c87603cf0762ad95c9f13be3e93d923e8aa69fc9cb50217a455f82f7e,25
HON_20210212,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",e95ed027248efb52775da54b7f2998b43244f9dc660bab7994283d7961af96f6,5
HON_20210423,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",8a9e3b7fd047fdd79e1d4907bccab12d8be35a86b73badcc0b1c643c47c18390,32
HON_20210423,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",0e95dd72d5643081bba9e15a62131f500f2b9854040ae45bfd78825e4557cf70,40
HON_20210423,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",e2282c2ea4fbce6bd5c6e31adaf2b039312dd053f80b736b4a3aae8be441f9e3,68
HON_20210423,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",ef6c4bc8a7184dec95de29a0cfe0e17fb4b2e0a68d29e0c902d04ddfdaa70f5e,21
JNJ_20200429,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",9a35aa1f77f6f4940d9ce5d229c0611df8a2e5d86ab800734dc82aa2ce66992d,35
JNJ_20200429,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",10f1281d41adba100b533573759c456d17ba3d71b62f5be27cea45ff34d8436d,29
JNJ_20200429,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",2ac36bc3ec0815ca53ba7b4632d5c59739f1a9acb7d593591927d0fdb2338867,77
JNJ_20200429,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",8c4cef6e1ca94904c46cb27deffc1e8946098764a48275a35478c969dca836ff,14
JNJ_20200724,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",c3262c9fa93bcc4c07113d0996375e9894be946a09827ee349a6de7704a6ab20,49
JNJ_20200724,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",39f35e9c77c9569aee4105c7c031256341620028d2cba49310c12553e175548a,21
JNJ_20200724,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",8420f34f3a865e49dc77a4941a7860dc01aa944c59dbfaacddaadb29c7e357cd,64
JNJ_20200724,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",9ab1e6120be475d7c3ab1d9fc90d49d41ef59a2312e94a6f8d69890e2fffed7d,18
JNJ_20201023,"What trends can be observed in the company’s revenue amount over the past few years? Please quote the piece(s) of news aligned with the finding(s), if any.",ecace58c64ffc41962a27f56808b8377497719f18064a5ccc07893d48e020a85,63
JNJ_20201023,"How does the company’s balance sheet reflect its financial health in terms of total amount of current assets and the ratio of total liability divided by total equity? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",fb6c42fdcaf1ec7154ad4ecd82a2a7994ca1ae84401bd8baabf76c9c35367858,24
JNJ_20201023,"Are there any significant changes or irregularities in the amount of operating, investing and financing cash flow? Please quote the piece(s) of news aligned with the finding(s), if any.",5daac7ecc18ed14049c91e0a4030034f456b008604ab7384b5866c714ce6fd5b,61
JNJ_20201023,"What is the company's R&D ratio (R&D divided by revenue)? Please provide only the final result(s); do not include any calculation steps. Please quote the piece(s) of news aligned with the finding(s), if any.",085b669b4175887c5cb663a53e28e9d1754f8d9bbf674db87f3416b7f7dcd044,13
